,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
2869,NH,2.238095238095238,0.9047619047619048,W,D,W,D,W,L,1.1428571428571428,-0.42857142857142855,0.23809523809523808,-14.0
2870,H,1.6363636363636365,1.0,W,W,D,L,L,D,0.45454545454545453,-0.6818181818181818,0.18181818181818182,3.0
2871,H,2.0,1.0909090909090908,W,W,D,L,W,W,0.7727272727272727,0.18181818181818182,0.045454545454545456,-3.0
2872,NH,0.3181818181818182,0.7727272727272727,L,L,L,D,L,W,-1.6363636363636365,-0.7272727272727273,-0.3181818181818182,0.0
2873,H,1.6363636363636365,1.7727272727272727,W,L,W,W,D,D,0.6818181818181818,0.3181818181818182,0.0,-8.0
2874,H,2.1818181818181817,1.1818181818181819,W,L,W,L,L,L,1.2272727272727273,-0.2727272727272727,0.36363636363636365,-12.0
2875,NH,0.9090909090909091,1.7727272727272727,L,W,L,D,D,D,-0.7727272727272727,0.9545454545454546,-0.13636363636363635,9.0
2876,H,1.4545454545454546,0.6818181818181818,W,L,W,L,D,L,0.3181818181818182,-0.6818181818181818,0.36363636363636365,-3.0
2877,NH,0.9090909090909091,1.5,W,L,L,W,W,D,-0.4090909090909091,0.0,-0.045454545454545456,-3.0
2878,H,0.7727272727272727,1.5454545454545454,L,W,L,W,L,D,-0.9090909090909091,0.5,0.0,9.0
2879,NH,0.8636363636363636,2.0,L,D,W,W,W,D,-0.45454545454545453,0.7727272727272727,-0.22727272727272727,16.0
2880,NH,1.565217391304348,0.9130434782608695,W,W,W,D,L,W,0.043478260869565216,-0.7391304347826086,0.2608695652173913,-2.0
2881,NH,0.6521739130434783,2.217391304347826,L,L,D,D,W,W,-0.6956521739130435,1.1304347826086956,-0.391304347826087,14.0
2882,NH,1.1304347826086956,0.8695652173913043,L,L,L,L,W,L,-0.5217391304347826,-0.43478260869565216,-0.21739130434782608,6.0
2883,H,1.4782608695652173,0.30434782608695654,L,W,L,L,L,L,0.391304347826087,-1.608695652173913,0.13043478260869565,-9.0
